id_assegnazione,id_sinistro,id_perito,data_assegnazione,data_sopralluogo,compenso_perito
124,139,55,2025-01-01,2025-01-09,386.36
125,140,65,2023-04-06,2023-04-10,448.85
126,141,182,2023-07-09,2023-07-14,103.71
127,142,53,2026-08-10,2026-08-12,432.77
128,143,102,2024-02-08,2024-02-16,344.69
129,144,59,2026-01-19,2026-01-28,92.35
130,145,204,2024-01-10,2024-01-13,230.74
131,147,2,2026-06-04,2026-06-08,308.26
132,150,84,2026-01-26,2026-01-28,170.37
133,151,75,2025-02-16,2025-02-23,207.09
134,152,205,2026-07-26,2026-07-27,140.63
135,153,101,2024-06-08,2024-06-15,305.73
136,154,216,2024-09-18,2024-09-25,177.09
137,155,55,2026-07-25,2026-07-26,179.39
138,156,56,2026-08-28,2026-09-02,208.64
139,157,142,2026-07-09,2026-07-19,315.32
140,158,66,2025-10-31,2025-11-02,386.04
141,159,219,2025-11-23,2025-11-30,139.74
142,160,103,2024-08-24,2024-08-25,231.56
143,161,117,2023-12-22,2023-12-28,349.28
144,162,126,2024-02-19,2024-02-22,210.01
145,163,59,2026-07-19,2026-07-28,296.99
146,164,13,2024-08-18,2024-08-23,105.08
147,165,63,2024-10-24,2024-10-30,258.81
148,166,20,2026-08-27,2026-08-28,239.44
149,167,16,2024-09-11,2024-09-18,379.26
150,168,139,2025-11-14,2025-11-19,430.74
151,169,177,2025-06-21,2025-06-27,358.77
152,170,188,2026-02-23,2026-03-02,177.24
153,172,19,2026-06-04,2026-06-08,435.32
154,173,209,2026-07-16,2026-07-26,143.02
155,174,23,2026-03-06,2026-03-08,116.55
156,175,89,2026-02-10,2026-02-13,386.68
157,177,165,2025-02-18,2025-02-24,397.23
158,178,215,2026-04-11,2026-04-15,194.01
159,180,122,2023-12-19,2023-12-27,313.6
160,181,32,2026-02-22,2026-02-25,358.24
161,182,143,2026-08-25,2026-08-26,396.56
162,183,33,2026-04-12,2026-04-16,312.17
163,185,15,2024-10-27,2024-11-04,385.27
164,186,205,2023-02-15,2023-02-17,319.76
165,187,124,2024-10-07,2024-10-09,270.5
166,188,4,2025-02-19,2025-02-22,435.98
167,189,98,2023-11-12,2023-11-21,250.39
168,190,202,2026-06-25,2026-06-28,200.09
169,191,104,2026-04-12,2026-04-22,340.54
170,192,121,2026-01-22,2026-01-24,242.05
171,193,25,2024-10-18,2024-10-20,139.35
172,194,40,2025-05-19,2025-05-21,408.94
173,195,25,2025-07-18,2025-07-27,259.7
174,196,67,2024-07-31,2024-08-04,116.33
175,197,94,2024-04-02,2024-04-06,228.76
176,198,215,2024-06-05,2024-06-07,308.4
177,199,124,2026-07-31,2026-08-04,125.58
178,200,64,2024-05-10,2024-05-12,387.81
179,201,198,2026-07-29,2026-08-07,329.25
180,202,50,2023-05-18,2023-05-25,134.49
181,203,102,2026-01-03,2026-01-04,134.85
182,204,87,2025-12-24,2026-01-03,398.45
183,205,128,2024-09-15,2024-09-20,297.96
184,207,9,2023-10-14,2023-10-15,316.7
185,208,110,2026-01-19,2026-01-23,269.74
186,209,10,2026-07-12,2026-07-18,191.81
187,210,194,2026-06-12,2026-06-14,447.98
188,212,77,2025-12-24,2026-01-01,226.14
189,213,138,2025-12-03,2025-12-11,418.53
190,214,80,2024-08-29,2024-09-04,235.56
191,216,81,2026-08-18,2026-08-23,86.86
192,217,145,2026-08-17,2026-08-23,250.75
193,218,11,2023-10-19,2023-10-26,352.72
194,219,26,2023-03-06,2023-03-14,381.71
195,220,181,2026-06-08,2026-06-17,241.94
196,221,101,2024-06-09,2024-06-11,98.34
197,222,97,2024-07-20,2024-07-24,439.09
198,224,27,2024-12-03,2024-12-10,202.98
199,225,151,2025-12-22,2025-12-31,148.07
200,226,190,2024-02-20,2024-02-26,115.32
201,227,147,2025-10-15,2025-10-20,426.04
202,228,189,2026-02-06,2026-02-11,229.55
203,229,148,2025-07-20,2025-07-27,300.12
204,230,78,2025-10-20,2025-10-27,143.85
205,231,127,2025-05-14,2025-05-22,282.06
206,232,134,2026-02-21,2026-03-02,105.83
207,233,199,2026-06-25,2026-06-27,383.7
208,234,81,2024-04-07,2024-04-16,218.24
209,235,7,2023-05-26,2023-05-28,313.66
210,236,50,2023-07-24,2023-07-28,334.1
211,237,174,2026-05-02,2026-05-04,347.72
212,238,140,2026-07-14,2026-07-23,116.94
213,240,146,2024-05-22,2024-05-27,289.95
214,241,128,2024-02-03,2024-02-05,133.59
215,243,81,2026-02-09,2026-02-19,119.35
216,244,179,2024-03-15,2024-03-21,184.91
217,245,102,2025-04-04,2025-04-11,324.41
218,246,198,2024-09-01,2024-09-11,399.1
219,247,144,2023-07-05,2023-07-15,279.37
220,248,97,2026-08-16,2026-08-26,340.53
221,249,173,2026-08-03,2026-08-05,214.7
222,250,13,2024-04-21,2024-04-23,195.27
223,251,174,2023-11-17,2023-11-25,119.77
224,252,28,2025-12-22,2025-12-29,238.84
225,254,95,2024-03-05,2024-03-06,176.44
226,255,118,2023-12-20,2023-12-26,391.93
227,256,121,2025-08-29,2025-09-06,193.13
228,257,122,2024-01-06,2024-01-14,109.83
229,258,140,2024-01-14,2024-01-16,122.54
230,259,111,2025-01-31,2025-02-03,179.92
231,260,45,2023-10-18,2023-10-24,329.31
232,261,49,2025-12-07,2025-12-09,208.53
233,262,108,2023-06-21,2023-06-25,366.83
234,263,144,2025-12-09,2025-12-19,131.52
235,264,11,2026-05-24,2026-06-02,103.0
236,265,138,2025-04-23,2025-04-29,103.23
237,266,126,2025-06-08,2025-06-11,270.23
238,267,159,2026-06-01,2026-06-11,268.13
239,268,119,2025-01-10,2025-01-15,160.73
240,269,155,2023-12-09,2023-12-12,132.08
241,270,123,2025-10-30,2025-11-07,146.27
242,271,68,2025-07-19,2025-07-27,128.99
243,272,30,2026-01-16,2026-01-23,382.46
244,273,20,2023-06-28,2023-07-04,259.09
245,274,220,2026-07-08,2026-07-15,129.44
246,275,26,2025-10-02,2025-10-09,375.26
247,276,179,2024-05-12,2024-05-22,425.9
248,277,68,2025-07-25,2025-07-31,165.83
249,278,203,2025-09-28,2025-09-29,359.05
250,279,209,2024-03-03,2024-03-05,241.07
251,280,215,2025-04-09,2025-04-13,88.6
252,281,195,2025-02-09,2025-02-13,97.54
253,282,205,2025-02-21,2025-02-24,90.69
254,283,153,2025-10-01,2025-10-03,208.31
255,285,215,2024-01-23,2024-01-29,129.75
256,286,111,2024-07-06,2024-07-11,227.29
257,287,130,2023-09-16,2023-09-21,427.82
258,289,95,2026-01-17,2026-01-26,414.81
259,290,69,2023-04-06,2023-04-10,230.87
260,291,108,2026-04-13,2026-04-18,283.79
261,292,85,2025-03-09,2025-03-10,387.51
262,294,20,2025-07-06,2025-07-11,84.19
263,295,198,2023-12-12,2023-12-18,270.15
264,296,94,2026-02-12,2026-02-22,80.2
265,297,74,2024-10-22,2024-10-26,251.25
266,298,126,2024-12-16,2024-12-24,100.52
267,299,3,2024-02-26,2024-03-02,400.01
268,300,157,2026-01-10,2026-01-16,295.6
269,301,105,2026-07-18,2026-07-19,252.87
270,302,42,2025-10-26,2025-11-04,121.99
271,303,59,2025-03-13,2025-03-22,228.63
272,304,118,2025-05-16,2025-05-23,89.98
273,305,209,2024-02-13,2024-02-20,365.99
274,306,199,2025-12-28,2026-01-05,448.47
275,307,158,2025-01-26,2025-02-04,386.33
276,308,132,2026-02-04,2026-02-11,423.18
277,309,84,2023-08-14,2023-08-23,149.21
278,310,23,2024-08-23,2024-09-02,424.72
279,311,105,2024-10-28,2024-10-30,
280,312,214,2024-07-26,2024-07-27,159.1
281,313,79,2024-10-10,2024-10-17,386.33
282,314,81,2023-06-23,2023-06-29,279.89
283,315,177,2026-02-02,2026-02-09,254.53
284,316,61,2026-01-26,2026-01-28,413.99
285,317,113,2026-07-10,2026-07-20,101.97
286,318,18,2026-06-01,2026-06-06,
287,319,67,2026-08-10,2026-08-16,159.28
288,321,77,2026-08-20,2026-08-22,331.54
289,322,128,2023-08-15,2023-08-19,130.68
290,323,187,2024-07-22,2024-07-31,84.07
291,324,70,2025-08-19,2025-08-26,226.39
292,325,96,2024-02-08,2024-02-17,118.01
293,326,38,2026-04-25,2026-04-30,293.82
294,327,114,2025-10-31,2025-11-02,341.35
295,328,212,2023-05-28,2023-05-30,94.49
296,329,120,2025-12-23,2025-12-28,367.96
297,330,77,2025-11-23,2025-11-24,387.05
298,331,87,2025-11-05,2025-11-07,439.72
299,332,194,2026-06-27,2026-07-02,104.67
300,334,125,2026-01-29,2026-02-06,279.41
301,335,126,2024-09-10,2024-09-16,147.72
302,336,39,2026-07-26,2026-07-30,445.55
303,338,142,2026-01-16,2026-01-25,251.07
304,339,90,2025-04-26,2025-05-05,440.75
305,340,113,2026-08-09,2026-08-11,186.12
306,341,170,2023-04-23,2023-05-01,229.32
307,342,82,2024-12-21,2024-12-29,241.08
308,344,56,2026-08-18,2026-08-23,229.64
309,345,53,2023-02-23,2023-03-05,247.44
310,346,74,2024-02-20,2024-02-29,364.15
311,347,5,2025-03-06,2025-03-14,392.55
312,348,130,2024-08-20,2024-08-27,230.18
313,350,128,2024-05-31,2024-06-04,105.49
314,351,61,2026-04-24,2026-04-27,332.43
315,352,210,2026-04-13,2026-04-22,397.3
316,353,149,2024-11-26,2024-11-28,364.79
317,354,35,2026-05-05,2026-05-06,242.71
318,355,211,2023-11-20,2023-11-21,250.7
319,356,116,2025-07-24,2025-07-29,
320,357,204,2025-06-19,2025-06-24,313.83
321,358,220,2026-07-14,2026-07-20,116.61
322,359,1,2026-08-08,2026-08-10,196.4
323,360,158,2024-04-09,2024-04-19,387.56
324,362,117,2024-11-24,2024-12-04,231.56
325,363,111,2024-11-25,2024-11-28,82.21
326,364,29,2025-09-19,2025-09-21,259.82
327,365,89,2023-08-25,2023-09-04,311.11
328,366,4,2024-07-25,2024-08-01,90.71
329,368,200,2026-05-31,2026-06-09,214.38
330,369,7,2024-01-13,2024-01-16,334.83
331,371,61,2026-04-19,2026-04-29,284.99
332,372,172,2026-02-17,2026-02-19,97.77
333,373,81,2024-01-16,2024-01-26,425.77
334,374,171,2024-05-03,2024-05-11,136.17
335,376,174,2026-07-04,2026-07-14,397.1
336,377,63,2025-04-02,2025-04-11,282.09
337,378,206,2025-07-09,2025-07-19,241.88
338,379,93,2026-05-15,2026-05-22,430.4
339,381,103,2026-01-29,2026-02-02,365.63
340,382,125,2026-06-09,2026-06-10,245.51
341,383,43,2023-06-15,2023-06-18,419.16
342,384,24,2023-09-01,2023-09-02,318.6
343,385,71,2025-10-18,2025-10-22,191.71
344,387,58,2025-04-27,2025-04-28,250.6
345,388,94,2026-08-05,2026-08-12,336.36
346,389,49,2023-11-30,2023-12-08,225.6
347,390,120,2024-07-01,2024-07-06,302.07
348,392,61,2026-07-02,2026-07-07,320.6
349,393,101,2025-01-01,2025-01-05,226.98
350,394,153,2024-08-24,2024-08-28,168.76
351,395,52,2025-11-07,2025-11-14,90.45
352,396,68,2026-01-08,2026-01-17,436.23
353,398,32,2025-12-14,2025-12-21,264.56
354,399,210,2025-05-27,2025-05-28,168.32
355,400,103,2023-08-06,2023-08-11,184.5
356,401,15,2023-09-17,2023-09-23,141.43
357,403,56,2025-06-24,2025-06-26,135.92
358,404,96,2023-11-07,2023-11-12,390.12
359,405,9,2024-03-04,2024-03-05,
360,406,149,2026-05-01,2026-05-11,212.81
361,407,83,2026-08-12,2026-08-22,304.87
362,408,35,2023-11-24,2023-11-29,299.65
363,409,80,2025-09-27,2025-09-29,397.05
364,410,58,2024-09-10,2024-09-19,389.21
365,411,178,2024-12-29,2025-01-04,230.02
366,412,83,2025-02-11,2025-02-14,119.73
367,413,126,2025-11-22,2025-11-27,
368,414,85,2024-12-22,2024-12-29,195.77
369,415,123,2026-01-16,2026-01-22,154.35
370,416,154,2025-10-21,2025-10-24,255.46
371,417,90,2024-06-28,2024-07-07,265.43
372,418,169,2024-05-19,2024-05-29,99.54
373,419,40,2026-05-29,2026-05-30,317.04
374,420,146,2025-12-03,2025-12-08,132.35
375,421,190,2024-12-30,2025-01-06,289.76
376,422,136,2026-06-28,2026-07-02,253.83
377,423,186,2024-04-02,2024-04-03,87.4
378,424,78,2024-01-03,2024-01-13,424.76
379,425,149,2025-06-07,2025-06-12,331.23
380,426,193,2025-11-07,2025-11-17,182.53
381,427,190,2023-11-15,2023-11-18,363.53
382,428,4,2026-07-18,2026-07-26,421.53
383,429,166,2026-01-23,2026-01-30,245.97
384,430,3,2025-12-20,2025-12-30,153.29
385,431,138,2025-06-24,2025-06-26,144.51
386,432,120,2023-10-26,2023-10-30,315.85
387,433,99,2025-02-25,2025-02-26,129.67
388,434,217,2024-04-17,2024-04-18,432.4
389,436,18,2024-02-23,2024-02-24,437.47
390,437,211,2024-12-19,2024-12-29,406.6
391,438,58,2026-08-11,2026-08-21,288.42
392,439,209,2024-06-21,2024-06-25,183.17
393,440,129,2026-08-22,2026-08-26,298.24
394,441,196,2025-07-17,2025-07-22,221.78
395,442,199,2025-06-10,2025-06-14,244.35
396,443,84,2025-10-25,2025-11-01,303.87
397,444,64,2024-12-16,2024-12-20,205.11
398,445,219,2025-09-15,2025-09-20,360.63
399,446,62,2024-04-13,2024-04-20,318.86
400,448,32,2026-08-23,2026-08-30,97.29
401,449,149,2025-10-05,2025-10-15,191.73
402,450,60,2024-11-29,2024-12-06,203.08
403,451,37,2026-08-13,2026-08-20,90.22
404,452,122,2024-11-15,2024-11-19,232.17
405,453,58,2026-06-04,2026-06-09,358.1
406,454,114,2025-05-26,2025-06-01,170.6
407,455,138,2026-02-25,2026-02-28,218.6
408,456,189,2025-09-02,2025-09-07,240.94
409,457,217,2024-03-20,2024-03-28,
410,458,169,2025-07-13,2025-07-17,320.55
411,459,46,2026-03-24,2026-03-30,143.82
412,460,4,2025-01-21,2025-01-25,443.03
413,461,82,2024-11-24,2024-12-02,231.54
414,462,38,2024-09-05,2024-09-07,224.66
415,463,85,2025-08-19,2025-08-23,374.54
416,464,205,2024-01-21,2024-01-28,246.97
417,465,11,2024-10-30,2024-11-02,84.38
418,466,42,2026-06-18,2026-06-26,388.8
419,467,155,2025-11-27,2025-11-30,162.46
420,468,160,2025-12-22,2025-12-30,204.8
421,469,123,2026-07-28,2026-08-07,211.16
422,470,112,2025-07-04,2025-07-14,232.88
423,472,23,2024-07-11,2024-07-21,319.0
424,473,28,2025-01-10,2025-01-16,
425,474,10,2025-07-19,2025-07-29,164.79
426,475,76,2026-05-01,2026-05-04,246.08
427,477,113,2025-05-08,2025-05-14,159.49
428,478,167,2026-05-30,2026-06-04,225.13
429,480,146,2026-08-23,2026-08-24,255.45
430,481,174,2023-10-25,2023-11-03,383.6
431,482,79,2025-01-13,2025-01-18,406.71
432,483,179,2026-04-07,2026-04-13,225.03
433,484,151,2025-01-02,2025-01-04,418.79
434,485,147,2025-06-17,2025-06-22,356.58
435,486,156,2026-05-25,2026-05-31,403.26
436,489,54,2025-12-26,2026-01-04,122.03
437,490,32,2025-11-04,2025-11-13,364.55
438,491,115,2023-12-09,2023-12-18,236.69
439,492,78,2025-06-13,2025-06-21,
440,493,138,2024-09-24,2024-10-01,311.04
441,494,151,2026-06-14,2026-06-18,329.53
442,495,47,2023-08-31,2023-09-09,135.36
443,496,115,2024-03-19,2024-03-28,449.12
444,497,3,2026-08-07,2026-08-10,256.88
445,498,73,2023-07-16,2023-07-25,438.95
446,499,147,2025-01-10,2025-01-15,369.5
447,500,77,2026-06-11,2026-06-17,330.46
448,501,183,2025-11-23,2025-11-27,153.9
449,502,111,2025-09-12,2025-09-18,285.61
450,503,104,2023-05-13,2023-05-19,288.07
451,504,65,2026-02-18,2026-02-26,349.02
452,505,129,2024-03-04,2024-03-10,86.1
453,506,180,2026-08-16,2026-08-21,260.13
454,508,162,2024-09-04,2024-09-10,320.41
455,509,86,2026-07-09,2026-07-15,415.87
456,510,121,2025-09-09,2025-09-16,112.99
457,511,204,2025-08-16,2025-08-17,203.21
458,512,64,2024-10-26,2024-11-01,86.28
459,513,116,2025-08-02,2025-08-11,349.79
460,514,150,2026-06-18,2026-06-22,393.07
461,515,192,2024-02-27,2024-03-05,167.71
462,516,149,2024-12-17,2024-12-19,381.34
463,517,104,2025-03-14,2025-03-19,353.51
464,518,169,2024-11-13,2024-11-22,146.21
465,519,26,2024-03-10,2024-03-15,169.86
466,520,199,2026-08-15,2026-08-25,248.09
467,521,175,2025-01-30,2025-02-04,305.86
468,522,205,2024-03-29,2024-04-02,134.71
469,523,141,2026-07-05,2026-07-15,157.38
470,524,67,2025-01-04,2025-01-11,337.97
471,525,175,2026-04-30,2026-05-02,313.97
472,526,209,2024-05-28,2024-06-01,319.82
473,527,51,2024-05-26,2024-05-27,414.69
474,528,149,2025-04-29,2025-05-05,142.57
475,529,126,2024-10-25,2024-10-28,212.86
476,531,86,2024-04-10,2024-04-11,192.59
477,532,193,2025-01-15,2025-01-25,100.24
478,533,82,2025-07-22,2025-07-26,335.23
479,535,1,2025-12-06,2025-12-09,372.37
480,536,5,2024-06-08,2024-06-17,340.41
481,537,164,2024-04-28,2024-04-29,162.89
482,538,187,2026-08-20,2026-08-22,223.48
483,539,213,2025-05-24,2025-05-26,311.99
484,540,72,2026-04-18,2026-04-27,355.68
485,541,109,2025-02-05,2025-02-10,193.73
486,542,140,2026-06-13,2026-06-18,108.77
487,543,126,2024-02-07,2024-02-15,395.1
488,544,97,2026-04-14,2026-04-18,80.73
489,545,16,2024-12-04,2024-12-13,405.24
490,546,26,2025-03-26,2025-04-02,226.39
491,547,179,2023-10-20,2023-10-30,99.96
492,548,110,2025-01-23,2025-01-25,158.69
493,549,22,2024-07-27,2024-08-04,120.11
494,550,74,2025-06-03,2025-06-05,342.37
495,551,75,2026-08-13,2026-08-20,360.32
496,552,118,2026-02-11,2026-02-18,350.39
497,554,184,2026-08-17,2026-08-24,358.58
498,555,130,2026-02-22,2026-03-03,207.83
499,556,81,2024-03-02,2024-03-12,357.9
500,557,16,2025-07-22,2025-07-28,325.59
501,558,61,2023-11-04,2023-11-08,445.38
502,559,57,2024-04-29,2024-05-07,390.5
503,560,130,2025-10-15,2025-10-20,433.74
504,561,154,2025-12-31,2026-01-07,
505,562,155,2025-08-15,2025-08-19,108.04
506,563,191,2023-09-17,2023-09-19,334.23
507,564,15,2024-12-25,2024-12-30,126.53
508,565,25,2025-01-15,2025-01-18,300.75
509,566,32,2025-11-06,2025-11-10,362.03
510,567,78,2024-08-27,2024-09-05,146.61
511,568,140,2026-06-13,2026-06-22,173.01
512,569,28,2026-08-21,2026-08-30,439.57
513,570,31,2025-09-20,2025-09-21,293.35
514,571,111,2026-08-01,2026-08-06,251.86
515,572,70,2024-02-17,2024-02-24,354.77
516,573,129,2025-07-10,2025-07-15,118.89
517,574,163,2023-06-22,2023-06-28,433.53
518,575,129,2026-01-10,2026-01-11,330.51
519,576,214,2026-01-26,2026-01-27,144.52
520,577,145,2024-11-19,2024-11-23,257.42
521,578,49,2025-08-01,2025-08-06,350.55
522,579,1,2025-11-08,2025-11-15,302.83
523,580,86,2024-08-17,2024-08-18,422.75
524,581,27,2024-06-27,2024-06-28,128.2
525,582,155,2025-05-21,2025-05-22,109.62
526,583,135,2025-06-03,2025-06-11,291.79
527,584,139,2026-06-04,2026-06-10,428.09
528,585,109,2023-12-13,2023-12-17,331.28
529,586,32,2025-09-27,2025-09-28,122.67
530,587,74,2026-02-02,2026-02-12,309.29
531,588,168,2024-05-12,2024-05-13,414.01
532,589,130,2024-07-22,2024-07-28,401.83
533,590,123,2023-09-18,2023-09-25,192.75
534,591,41,2025-12-04,2025-12-06,168.09
535,592,143,2025-05-06,2025-05-11,296.8
536,593,185,2026-03-09,2026-03-11,239.02
537,594,43,2026-02-10,2026-02-11,145.88
538,595,130,2025-07-06,2025-07-10,237.21
539,596,189,2024-05-29,2024-06-04,161.53
540,597,195,2026-06-18,2026-06-26,220.93
541,598,159,2024-10-10,2024-10-17,363.67
542,599,153,2026-04-01,2026-04-07,239.19
543,600,167,2024-11-12,2024-11-22,436.75
544,601,105,2026-05-10,2026-05-12,110.09
545,603,198,2024-05-21,2024-05-27,214.72
546,604,169,2026-01-19,2026-01-22,200.36
547,605,127,2025-06-06,2025-06-15,257.01
548,606,47,2026-08-29,2026-09-07,390.44
549,607,219,2023-03-09,2023-03-16,272.12
550,609,210,2024-06-06,2024-06-15,360.41
551,610,128,2024-01-03,2024-01-11,300.48
552,611,35,2024-05-10,2024-05-18,446.44
553,612,168,2023-11-09,2023-11-12,
554,613,141,2026-03-20,2026-03-29,375.15
555,614,21,2026-01-14,2026-01-21,239.64
556,615,173,2026-06-29,2026-07-01,162.06
557,616,102,2025-07-03,2025-07-07,400.32
558,617,177,2024-02-11,2024-02-21,136.45
559,618,174,2025-03-08,2025-03-12,389.17
560,619,197,2025-10-10,2025-10-11,214.33
561,620,215,2025-09-01,2025-09-03,306.42
562,621,64,2023-08-17,2023-08-21,374.11
563,624,213,2024-03-07,2024-03-13,286.64
564,625,80,2025-10-17,2025-10-21,144.17
565,627,61,2025-04-03,2025-04-08,357.34
566,628,7,2025-03-22,2025-03-23,381.05
567,629,57,2024-10-14,2024-10-15,377.17
568,630,111,2026-08-11,2026-08-19,127.47
569,631,126,2026-04-06,2026-04-09,128.48
570,632,124,2025-02-25,2025-03-04,108.7
571,633,45,2023-09-19,2023-09-27,103.9
572,634,62,2024-03-20,2024-03-30,400.79
573,635,38,2025-05-14,2025-05-21,167.22
574,636,118,2025-11-07,2025-11-15,132.35
575,638,156,2025-03-10,2025-03-12,83.19
576,639,111,2025-02-10,2025-02-19,221.16
577,640,139,2025-12-12,2025-12-14,356.81
578,641,6,2024-09-06,2024-09-13,233.3
579,642,199,2026-05-10,2026-05-19,174.86
580,643,100,2023-03-30,2023-04-06,367.16
581,644,131,2026-04-30,2026-05-03,250.27
