id_sinistro,id_polizza,data_denuncia,tipo_danno,tipo_modulo_cai,regione_sinistro,importo_stimato_perito,importo_indennizzo_liquidato,esito_sinistro,data_offerta,data_accettazione_danneggiato,data_liquidazione
82,3983,2025-01-21,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,3067.79,2981.94,liquidato,2025-03-14,2025-03-29,2025-04-04
83,4227,2024-12-01,RC autoveicoli terrestri,unilaterale,Friuli-Venezia Giulia,5355.65,,in_contenzioso,2024-12-20,,
84,1823,2024-02-29,Corpi di veicoli terrestri,,Lombardia,2618.37,2444.0,liquidato,2024-04-10,2024-04-19,2024-04-26
85,246,2026-05-31,RC autoveicoli terrestri,congiunto,Veneto,2263.67,1908.84,liquidato,2026-06-23,2026-06-27,2026-07-11
86,859,2024-02-24,RC autoveicoli terrestri,congiunto,Molise,5115.89,4742.97,liquidato,2024-03-23,2024-04-11,2024-04-23
87,1084,2024-01-31,Incendio ed elementi naturali,,Emilia-Romagna,4770.87,4590.82,liquidato,2024-03-28,2024-04-07,2024-04-17
88,597,2025-02-24,Altri danni ai beni,,Basilicata,2807.12,2630.46,liquidato,2025-04-16,2025-04-28,2025-05-05
89,365,2026-06-12,Corpi di veicoli terrestri,,Marche,,2550.41,liquidato,2026-07-18,2026-07-20,2026-07-28
90,2633,2026-07-22,Altri danni ai beni,,Sardegna,1851.07,1682.53,liquidato,2026-08-29,2026-09-07,2026-09-16
91,2667,2023-08-14,Corpi di veicoli terrestri,,Basilicata,2691.07,,aperto,,,
92,697,2024-03-16,RC autoveicoli terrestri,congiunto,Abruzzo,11781.45,,respinto,,,
93,1525,2023-04-22,RC generale,,Molise,9118.85,8419.27,liquidato,2023-05-23,2023-06-04,2023-06-16
94,3721,2024-11-07,RC autoveicoli terrestri,congiunto,Puglia,5202.37,5132.02,liquidato,2024-11-21,2024-11-26,2024-12-08
95,2853,2026-04-20,RC autoveicoli terrestri,unilaterale,Emilia-Romagna,7436.66,,aperto,,,
96,3320,2024-02-12,RC generale,,Calabria,4032.29,3604.49,liquidato,2024-03-16,2024-04-02,2024-04-08
97,116,2025-11-02,Corpi di veicoli terrestri,,Toscana,4926.13,4713.19,liquidato,2025-12-28,2026-01-04,2026-01-14
98,3215,2025-05-28,Altri danni ai beni,,Molise,1786.54,1578.42,liquidato,2025-07-01,2025-07-14,2025-07-23
99,194,2023-08-24,Altri danni ai beni,,Sicilia,,1042.8,liquidato,2023-09-14,2023-09-30,2023-10-08
100,1653,2025-11-19,RC autoveicoli terrestri,congiunto,Molise,7694.4,,aperto,,,
101,293,2023-08-18,Corpi di veicoli terrestri,,Sardegna,3252.88,2915.44,liquidato,2023-09-27,2023-10-03,2023-10-13
102,1866,2026-07-12,Corpi di veicoli terrestri,,Sicilia,6138.28,,in_contenzioso,2026-09-05,,
103,2281,2024-03-19,Altri danni ai beni,,Veneto,865.71,,aperto,,,
104,2020,2024-10-25,RC generale,,Sicilia,9036.81,8439.17,liquidato,2024-12-22,2025-01-07,2025-01-12
105,4220,2024-10-26,RC generale,,Emilia-Romagna,7382.99,,aperto,,,
106,617,2025-05-05,Altri danni ai beni,,Basilicata,1526.52,1344.33,liquidato,2025-06-19,2025-06-28,2025-07-01
107,1894,2024-08-15,Incendio ed elementi naturali,,Umbria,22400.78,21487.75,liquidato,2024-09-02,2024-09-14,2024-09-26
108,3193,2026-05-30,RC autoveicoli terrestri,unilaterale,Liguria,6332.78,6035.1,liquidato,2026-06-18,2026-06-29,2026-07-07
109,2623,2026-08-11,Incendio ed elementi naturali,,Sardegna,2839.32,2304.74,liquidato,2026-09-18,2026-09-22,2026-09-26
110,3233,2023-10-16,Altri danni ai beni,,Friuli-Venezia Giulia,1061.7,856.48,liquidato,2023-11-29,2023-12-09,2023-12-21
111,871,2024-01-04,Altri danni ai beni,,Lombardia,1833.69,,respinto,,,
112,3804,2026-05-03,RC autoveicoli terrestri,unilaterale,Abruzzo,6210.65,,respinto,,,
113,3924,2026-08-09,Altri danni ai beni,,Valle d'Aosta,3505.63,3296.4,liquidato,2026-08-19,2026-08-26,2026-09-09
114,715,2024-10-04,Incendio ed elementi naturali,,Emilia-Romagna,18794.04,,aperto,,,
115,3366,2024-08-03,RC autoveicoli terrestri,unilaterale,Veneto,2707.24,2700.44,liquidato,2024-09-06,2024-09-20,2024-10-03
116,2910,2026-02-19,RC generale,,Marche,17249.87,16628.36,liquidato,2026-04-08,2026-04-22,2026-05-04
117,504,2026-07-14,RC autoveicoli terrestri,congiunto,Marche,2685.94,,aperto,,,
118,2371,2024-03-06,RC generale,,Lombardia,6429.27,5841.02,liquidato,2024-04-28,2024-05-03,2024-05-10
119,3426,2023-10-23,Altri danni ai beni,,Umbria,301.65,,respinto,,,
120,1484,2024-01-15,RC generale,,Abruzzo,10530.96,9794.86,liquidato,2024-03-06,2024-03-25,2024-04-04
121,4205,2025-02-03,RC generale,,Friuli-Venezia Giulia,200,0.0,liquidato,2025-02-26,2025-03-09,2025-03-13
122,1448,2026-04-15,Altri danni ai beni,,Sicilia,873.9,,respinto,,,
123,4147,2026-01-19,Incendio ed elementi naturali,,Friuli-Venezia Giulia,16065.78,15180.6,liquidato,2026-02-18,2026-02-25,2026-03-05
124,1653,2025-04-26,RC autoveicoli terrestri,unilaterale,Molise,8123.9,,respinto,,,
125,529,2026-08-02,Incendio ed elementi naturali,,Umbria,12284.37,11932.21,liquidato,2026-09-25,2026-10-04,2026-10-10
126,4145,2024-02-23,RC autoveicoli terrestri,congiunto,Valle d'Aosta,3975.88,,aperto,,,
127,1153,2024-12-14,RC generale,,Liguria,11128.14,,in_contenzioso,2025-01-30,,
128,2087,2024-08-08,Incendio ed elementi naturali,,Lazio,10510.03,10525.47,liquidato,2024-09-19,2024-10-01,2024-10-11
129,3422,2024-05-24,Corpi di veicoli terrestri,,Sicilia,3605.95,3291.51,liquidato,2024-06-08,2024-06-14,2024-06-22
130,1602,2025-11-24,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,918.23,,respinto,,,
131,1641,2026-02-10,RC generale,,Valle d'Aosta,11450.73,11179.84,liquidato,2026-03-10,2026-03-13,2026-03-22
132,89,2026-06-06,Corpi di veicoli terrestri,,Marche,4298.37,,respinto,,,
133,1941,2026-07-15,RC autoveicoli terrestri,unilaterale,Puglia,10931.14,,aperto,,,
134,1961,2024-06-06,RC generale,,Marche,9156.59,,aperto,,,
135,2479,2026-08-05,RC autoveicoli terrestri,congiunto,Marche,200,51.06,liquidato,2026-08-19,2026-08-28,2026-09-01
136,1391,2025-08-28,RC autoveicoli terrestri,unilaterale,Trentino-Alto Adige,9406.75,9379.81,liquidato,2025-10-17,2025-11-04,2025-11-13
137,4026,2024-09-25,RC autoveicoli terrestri,unilaterale,Trentino-Alto Adige,4569.84,,aperto,,,
138,2744,2024-03-18,RC autoveicoli terrestri,unilaterale,Abruzzo,4220.21,4005.24,liquidato,2024-05-12,2024-05-21,2024-05-24
139,3818,2024-12-29,Corpi di veicoli terrestri,,Liguria,3131.28,,aperto,,,
140,2411,2023-04-03,RC autoveicoli terrestri,unilaterale,Friuli-Venezia Giulia,9932.21,9604.15,liquidato,2023-05-08,2023-05-10,2023-05-16
141,2639,2023-07-06,RC generale,,Marche,12946.6,12813.81,liquidato,2023-08-24,2023-09-09,2023-09-20
142,2529,2026-08-09,RC autoveicoli terrestri,unilaterale,Lombardia,13676.59,13828.06,liquidato,2026-08-25,2026-09-09,2026-09-24
143,2026,2024-02-03,RC generale,,Lombardia,7107.04,6944.52,liquidato,2024-03-05,2024-03-14,2024-03-20
144,3335,2026-01-18,Incendio ed elementi naturali,,Campania,3586.86,3079.72,liquidato,2026-02-01,2026-02-05,2026-02-20
145,1739,2024-01-07,RC generale,,Friuli-Venezia Giulia,7300.55,6925.73,liquidato,2024-02-09,2024-02-23,2024-03-07
146,2760,2024-05-09,Altri danni ai beni,,Veneto,2286.23,2151.53,liquidato,2024-06-14,2024-06-16,2024-06-28
147,3783,2026-06-01,RC generale,,Lombardia,7761.92,7349.42,liquidato,2026-06-24,2026-07-14,2026-07-21
148,698,2024-11-04,RC autoveicoli terrestri,congiunto,Umbria,4041.56,,aperto,,,
149,2540,2025-02-12,RC autoveicoli terrestri,congiunto,Toscana,3360.6,3069.83,liquidato,2025-02-26,2025-03-10,2025-03-20
150,2534,2026-01-21,Altri danni ai beni,,Veneto,2008.07,,respinto,,,
151,3812,2025-02-13,Incendio ed elementi naturali,,Friuli-Venezia Giulia,2861.21,2540.71,liquidato,2025-03-09,2025-03-24,2025-04-08
152,3618,2026-07-21,RC generale,,Piemonte,16468.16,15489.56,liquidato,2026-09-10,2026-09-11,2026-09-20
153,2897,2024-06-04,Corpi di veicoli terrestri,,Emilia-Romagna,2468.54,1942.61,liquidato,2024-06-28,2024-07-12,2024-07-16
154,343,2024-09-15,Incendio ed elementi naturali,,Lazio,8617.53,8193.29,liquidato,2024-10-27,2024-11-01,2024-11-06
155,1176,2026-07-24,Incendio ed elementi naturali,,Liguria,15712.48,,respinto,,,
156,768,2026-08-24,Incendio ed elementi naturali,,Molise,12669.1,,aperto,,,
157,450,2026-07-04,RC autoveicoli terrestri,congiunto,Marche,4417.85,4447.86,liquidato,2026-07-22,2026-08-07,2026-08-15
158,2400,2025-10-29,RC autoveicoli terrestri,congiunto,Veneto,6742.01,,aperto,,,
159,1727,2025-11-19,Corpi di veicoli terrestri,,Abruzzo,200,,aperto,,,
160,2807,2024-08-20,RC autoveicoli terrestri,congiunto,Molise,4053.91,3917.77,liquidato,2024-08-31,2024-09-10,2024-09-14
161,963,2023-12-18,RC generale,,Toscana,11201.27,10863.31,liquidato,2024-01-09,2024-01-28,2024-02-03
162,2382,2024-02-18,Altri danni ai beni,,Trentino-Alto Adige,1251.89,,respinto,,,
163,1593,2026-07-14,Incendio ed elementi naturali,,Piemonte,13021.39,12674.31,liquidato,2026-09-10,2026-09-25,2026-09-29
164,1245,2024-08-13,Incendio ed elementi naturali,,Calabria,21951.97,21166.36,liquidato,2024-09-16,2024-09-30,2024-10-13
165,1352,2024-10-23,Incendio ed elementi naturali,,Abruzzo,20870.4,20567.69,liquidato,2024-11-07,2024-11-08,2024-11-19
166,498,2026-08-22,Incendio ed elementi naturali,,Liguria,11520.31,10834.17,liquidato,2026-09-26,2026-10-12,2026-10-15
167,1151,2024-09-10,Incendio ed elementi naturali,,Basilicata,200,0.0,liquidato,2024-10-12,2024-10-21,2024-11-03
168,570,2025-11-13,Corpi di veicoli terrestri,,Marche,4625.49,4462.43,liquidato,2026-01-11,2026-01-17,2026-01-28
169,3213,2025-06-17,RC autoveicoli terrestri,unilaterale,Liguria,3964.45,3604.09,liquidato,2025-06-30,2025-07-16,2025-07-29
170,617,2026-02-21,Altri danni ai beni,,Valle d'Aosta,1790.3,1560.84,liquidato,2026-04-13,2026-04-25,2026-05-10
171,4270,2025-07-14,RC autoveicoli terrestri,unilaterale,Umbria,2382.95,,in_contenzioso,2025-07-29,,
172,3939,2026-05-31,RC generale,,Veneto,6035.73,5691.9,liquidato,2026-07-04,2026-07-15,2026-07-21
173,2421,2026-07-12,RC generale,,Friuli-Venezia Giulia,7620.59,7460.95,liquidato,2026-08-27,2026-09-04,2026-09-15
174,2827,2026-03-04,RC generale,,Lombardia,13250.1,13073.57,liquidato,2026-04-26,2026-05-08,2026-05-21
175,2525,2026-02-09,RC autoveicoli terrestri,unilaterale,Liguria,,5249.19,liquidato,2026-04-06,2026-04-24,2026-05-04
176,1547,2026-07-29,RC generale,,Molise,9507.52,9068.21,liquidato,2026-09-16,2026-09-21,2026-09-29
177,1976,2025-02-17,RC autoveicoli terrestri,congiunto,Liguria,5707.67,5434.7,liquidato,2025-03-14,2025-03-17,2025-03-20
178,3719,2026-04-10,RC autoveicoli terrestri,unilaterale,Sardegna,11647.74,,in_contenzioso,2026-04-27,,
179,1759,2024-09-17,Altri danni ai beni,,Liguria,1875.23,,aperto,,,
180,1734,2023-12-16,RC autoveicoli terrestri,congiunto,Friuli-Venezia Giulia,3084.44,3072.76,liquidato,2024-01-08,2024-01-26,2024-02-07
181,968,2026-02-20,Incendio ed elementi naturali,,Abruzzo,18275.1,17857.33,liquidato,2026-03-25,2026-04-06,2026-04-17
182,3011,2026-08-24,Corpi di veicoli terrestri,,Lombardia,6399.23,6279.25,liquidato,2026-09-07,2026-09-13,2026-09-25
183,2672,2026-04-10,Altri danni ai beni,,Sicilia,2051.14,1897.63,liquidato,2026-05-13,2026-05-28,2026-06-06
184,3702,2026-05-21,Incendio ed elementi naturali,,Campania,10321.71,10078.17,liquidato,2026-06-26,2026-07-13,2026-07-21
185,2554,2024-10-24,RC autoveicoli terrestri,unilaterale,Sardegna,4808.36,,respinto,,,
186,3333,2023-02-13,RC generale,,Piemonte,13724.06,13659.76,liquidato,2023-04-02,2023-04-21,2023-04-30
187,2762,2024-10-04,Incendio ed elementi naturali,,Veneto,20299.59,,aperto,,,
188,3382,2025-02-16,Corpi di veicoli terrestri,,Friuli-Venezia Giulia,3579.81,3279.72,liquidato,2025-04-06,2025-04-18,2025-04-21
189,386,2023-11-07,Altri danni ai beni,,Calabria,1712.69,,in_contenzioso,2023-12-11,,
190,1504,2026-06-21,Incendio ed elementi naturali,,Umbria,12383.75,11359.63,liquidato,2026-08-18,2026-08-19,2026-09-03
191,1334,2026-04-07,RC generale,,Veneto,10308.08,,respinto,,,
192,103,2026-01-20,RC autoveicoli terrestri,unilaterale,Umbria,8347.85,,respinto,,,
193,1102,2024-10-14,Incendio ed elementi naturali,,Lazio,14593.78,,aperto,,,
194,2160,2025-05-17,RC autoveicoli terrestri,congiunto,Calabria,6104.58,6268.61,liquidato,2025-06-15,2025-06-24,2025-07-02
195,1970,2025-07-15,RC autoveicoli terrestri,congiunto,Lazio,8827.82,8563.88,liquidato,2025-08-03,2025-08-23,2025-09-05
196,546,2024-07-28,Corpi di veicoli terrestri,,Toscana,3420.48,,aperto,,,
197,2784,2024-04-01,Incendio ed elementi naturali,,Campania,8954.14,8741.4,liquidato,2024-04-11,2024-04-13,2024-04-17
198,4068,2024-06-02,RC autoveicoli terrestri,congiunto,Sardegna,4159.53,3950.7,liquidato,2024-06-21,2024-07-05,2024-07-11
199,209,2026-07-27,Corpi di veicoli terrestri,,Veneto,4025.54,3764.11,liquidato,2026-08-24,2026-09-04,2026-09-16
200,836,2024-05-09,RC generale,,Sardegna,8357.02,,in_contenzioso,2024-05-22,,
201,2967,2026-07-26,Altri danni ai beni,,Campania,2317.23,,in_contenzioso,2026-08-27,,
202,2233,2023-05-16,Incendio ed elementi naturali,,Umbria,24741.7,25086.62,liquidato,2023-06-27,2023-06-30,2023-07-11
203,3335,2025-12-30,Incendio ed elementi naturali,,Campania,8451.19,7890.73,liquidato,2026-02-23,2026-02-27,2026-03-07
204,990,2025-12-21,Corpi di veicoli terrestri,,Umbria,3183.78,3080.95,liquidato,2026-01-28,2026-01-29,2026-02-08
205,3106,2024-09-13,Altri danni ai beni,,Abruzzo,2592.07,2531.01,liquidato,2024-10-06,2024-10-10,2024-10-15
206,2151,2024-11-19,Altri danni ai beni,,Umbria,1284.6,,aperto,,,
207,2950,2023-10-12,Incendio ed elementi naturali,,Calabria,2240.06,,respinto,,,
208,1077,2026-01-14,RC generale,,Lombardia,9720.81,9159.21,liquidato,2026-02-16,2026-02-25,2025-12-16
209,171,2026-07-10,Incendio ed elementi naturali,,Emilia-Romagna,10941.73,10598.15,liquidato,2026-08-03,2026-08-06,2026-08-19
210,2121,2026-06-09,Corpi di veicoli terrestri,,Molise,3657.96,3602.99,liquidato,2026-07-10,2026-07-26,2026-08-01
211,2142,2025-04-22,RC generale,,Toscana,7394.35,7301.49,liquidato,2025-06-07,2025-06-16,2025-06-28
212,1989,2025-12-22,RC generale,,Campania,6454.14,6060.08,liquidato,2026-01-01,2026-01-18,2026-01-22
213,717,2025-11-29,Altri danni ai beni,,Valle d'Aosta,379.96,,in_contenzioso,2025-12-22,,
214,2179,2024-08-26,RC autoveicoli terrestri,unilaterale,Campania,2252.13,1996.44,liquidato,2024-10-04,2024-10-08,2024-10-13
215,3975,2025-07-19,Corpi di veicoli terrestri,,Toscana,3445.25,,aperto,,,
216,4200,2026-08-14,RC autoveicoli terrestri,unilaterale,Puglia,2755.56,,respinto,,,
217,1161,2026-08-15,RC autoveicoli terrestri,congiunto,Umbria,7442.27,7138.33,liquidato,2026-09-13,2026-10-01,2026-10-05
218,2093,2023-10-18,Altri danni ai beni,,Abruzzo,1187.75,,aperto,,,
219,2792,2023-03-01,RC generale,,Lombardia,6392.61,6018.8,liquidato,2023-03-29,2023-04-07,2023-04-22
220,359,2026-06-05,Corpi di veicoli terrestri,,Liguria,200,,aperto,,,
221,1955,2024-06-08,RC autoveicoli terrestri,congiunto,Emilia-Romagna,7602.93,7407.59,liquidato,2024-06-28,2024-07-14,2024-07-26
222,745,2024-07-17,Altri danni ai beni,,Marche,3665.01,3545.44,liquidato,2024-08-10,2024-08-16,2024-08-31
223,670,2026-07-31,RC autoveicoli terrestri,congiunto,Lazio,3128.19,3110.18,liquidato,2026-08-19,2026-08-22,2026-08-26
224,3701,2024-12-02,Corpi di veicoli terrestri,,Lombardia,3654.28,3470.35,liquidato,2024-12-18,2024-12-27,2024-12-30
225,3093,2025-12-20,Corpi di veicoli terrestri,,Puglia,1808.31,1474.63,liquidato,2026-02-04,2026-02-12,2026-02-26
226,823,2024-02-17,Altri danni ai beni,,Lombardia,3212.75,3202.18,liquidato,2024-04-11,2024-04-30,2024-02-12
227,677,2025-10-10,Incendio ed elementi naturali,,Sardegna,24895.14,24136.87,liquidato,2025-11-06,2025-11-25,2025-12-02
228,3598,2026-02-04,Incendio ed elementi naturali,,Calabria,6941.11,6512.48,liquidato,2026-04-03,2026-04-19,2026-04-26
229,2512,2025-07-17,Corpi di veicoli terrestri,,Umbria,4433.82,4155.79,liquidato,2025-09-02,2025-09-11,2025-09-20
230,2323,2025-10-16,Corpi di veicoli terrestri,,Lazio,1957.35,,aperto,,,
