id_polizza,id_cliente,id_tipo_polizza,premio_annuo,data_decorrenza,data_scadenza
329,190,1,206.92,2023-06-15,2024-06-14
330,2938,1,311.92,2023-01-19,2024-01-19
331,1777,5,188.32,2023-02-26,2024-02-26
332,2750,13,117.9,2024-03-19,2025-03-19
333,2168,7,80.47,2026-04-11,2027-04-11
334,2549,8,118.66,2025-01-14,2026-01-14
335,1936,6,275.76,2024-11-24,2025-11-24
336,471,12,134.16,2025-10-17,2026-10-17
337,1799,11,390.42,2023-08-27,2024-08-26
338,2768,13,127.72,2025-05-21,2026-05-21
339,1452,9,372.42,2025-04-02,2026-04-02
340,1564,11,376.57,2023-02-21,2024-02-21
341,2026,5,171.94,2026-01-20,2027-01-20
342,2150,11,423.57,2023-04-06,2024-04-05
343,573,6,209.83,2024-08-14,2025-08-14
344,282,8,109.41,2025-02-19,2026-02-19
345,1738,6,166.76,2024-08-30,2025-08-30
346,453,2,298.69,2023-07-18,2024-07-17
347,714,2,171.55,2025-11-13,2026-11-13
348,2462,11,387.35,2024-02-29,2025-02-28
349,1703,8,54.15,2024-05-27,2025-05-27
350,1545,13,140.66,2025-09-16,2026-09-16
351,887,11,342.68,2025-04-18,2024-04-18
352,1140,12,99.98,2026-05-20,2027-05-20
353,934,11,333.06,2023-06-11,2024-06-10
354,2362,6,202.33,2026-05-01,2027-05-01
355,2638,5,169.53,2025-02-24,2026-02-24
356,914,7,81.77,2024-06-25,2025-06-25
357,3043,6,139.86,2026-01-17,2027-01-17
358,526,12,119.48,2023-09-12,2024-09-11
359,84,3,211.37,2026-04-09,2027-04-09
360,1641,2,326.41,2025-07-06,2026-07-06
361,2987,13,159.8,2025-09-04,2026-09-04
362,2383,13,142.11,2023-04-27,2024-04-26
363,553,2,301.55,2024-07-25,2025-07-25
364,1677,8,61.4,2023-07-14,2024-07-13
365,2190,1,220.32,2025-10-05,2026-10-05
366,2805,8,88.09,2023-07-13,2024-07-12
367,820,1,256.74,2025-01-20,2026-01-20
368,1838,6,145.32,2025-04-28,2026-04-28
369,2445,8,104.21,2026-02-22,2027-02-22
370,364,12,123.04,2026-04-23,2027-04-23
371,2398,2,245.96,2023-12-08,2024-12-07
372,467,6,184.38,2025-10-20,2026-10-20
373,2023,7,91.4,2023-12-18,2024-12-17
374,909,5,179.37,2024-05-10,2025-05-10
375,2515,13,125.51,2023-03-17,2024-03-16
376,186,7,78.25,2023-12-01,2024-11-30
377,3071,8,81.62,2024-11-12,2025-11-12
378,1400,9,641.88,2026-04-15,2027-04-15
379,507,5,216.92,2024-03-22,2025-03-22
380,632,5,191.87,2024-12-01,2025-12-01
381,1116,3,240.94,2024-01-13,2025-01-12
382,274,8,93.45,2024-01-03,2025-01-02
383,436,6,159.89,2023-03-18,2024-03-17
384,2221,9,458.85,2024-06-18,2025-06-18
385,401,6,165.37,2024-05-30,2025-05-30
386,385,8,112.53,2023-04-18,2024-04-17
387,36,11,519.15,2024-11-22,2025-11-22
388,2547,3,284.99,2024-09-18,2025-09-18
389,2373,13,119.36,2024-07-22,2025-07-22
390,132,12,148.83,2025-08-01,2026-08-01
391,3181,5,180.42,2023-07-10,2024-07-09
392,2082,1,237.2,2024-03-17,2025-03-17
393,1928,5,226.91,2025-09-06,2026-09-06
394,496,11,507.59,2024-08-24,2025-08-24
395,2894,5,156.51,2023-12-18,2024-12-17
396,3011,7,68.73,2025-12-11,2026-12-11
397,2957,4,152.1,2024-05-18,2025-05-18
398,962,10,397.71,2023-01-30,2024-01-30
399,2230,3,197.19,2024-08-17,2025-08-17
400,1215,13,170.92,2023-03-05,2024-03-04
401,1145,5,161.13,2026-05-15,2027-05-15
402,1685,7,84.23,2025-11-20,2026-11-20
403,267,8,86.14,2023-01-17,2024-01-17
404,2360,7,68.99,2024-12-20,2025-12-20
405,2209,12,162.97,2025-08-15,2026-08-15
406,1275,5,181.14,2023-07-11,2024-07-10
407,2555,3,277.46,2024-01-02,2025-01-01
408,312,1,290.26,2024-10-13,2025-10-13
409,2526,7,108.11,2026-04-30,2027-04-30
410,145,4,197.92,2025-02-20,2026-02-20
411,2720,11,477.54,2023-12-10,2024-12-09
412,958,6,164.77,2026-03-10,2027-03-10
413,268,12,144.37,2023-02-03,2024-02-03
414,945,7,59.73,2026-07-16,2027-07-16
415,1205,2,224.69,2023-12-30,2024-12-29
416,770,8,80.05,2024-09-06,2025-09-06
417,2207,12,140.81,2024-06-11,2025-06-11
418,1520,3,206.88,2025-06-12,2026-06-12
419,1043,3,338.22,2025-01-11,2026-01-11
420,720,7,81.52,2023-12-28,2024-12-27
421,2541,6,159.87,2023-02-12,2024-02-12
422,837,7,80.49,2024-12-12,2025-12-12
423,3110,13,178.6,2025-09-09,2026-09-09
424,34,6,170.9,2026-05-24,2027-05-24
425,1729,8,68.14,2026-05-15,2027-05-15
426,1927,10,340.47,2025-07-26,2026-07-26
427,2251,12,97.76,2026-04-27,2027-04-27
428,1394,7,76.95,2025-07-21,2026-07-21
429,1126,8,90.68,2025-11-23,2026-11-23
430,1761,11,385.79,2026-04-01,2027-04-01
431,68,11,341.21,2026-08-08,2027-08-08
432,1775,12,123.17,2024-06-18,2025-06-18
433,337,1,281.96,2024-03-16,2025-03-16
434,1068,9,346.82,2025-09-10,2026-09-10
435,1716,11,294.9,2024-11-24,2025-11-24
436,2982,13,223.07,2023-07-16,2024-07-15
437,2713,8,87.64,2024-01-06,2025-01-05
438,2844,5,206.79,2026-08-03,2027-08-03
439,2358,13,98.33,2024-07-23,2025-07-23
440,69,8,80.43,2026-03-26,2027-03-26
441,940,10,398.05,2023-10-05,2024-10-04
442,3070,7,106.63,2025-06-09,2026-06-09
443,2880,12,171.23,2025-07-01,2026-07-01
444,137,5,151.81,2024-05-07,2025-05-07
445,2891,10,461.07,2025-02-09,2026-02-09
446,1233,12,104.88,2024-05-25,2025-05-25
447,1178,12,195.22,2025-04-13,2026-04-13
448,213,9,420.86,2024-12-19,2025-12-19
449,2950,1,279.86,2023-10-17,2024-10-16
450,2368,11,371.76,2026-06-04,2027-06-04
451,7,8,77.09,2025-09-29,2026-09-29
452,2148,10,303.13,2024-03-18,2025-03-18
453,1700,4,195.55,2025-05-15,2026-05-15
454,1246,7,115.57,2024-06-12,2025-06-12
455,3199,13,108.93,2024-05-15,2025-05-15
456,2201,3,311.6,2024-02-06,2025-02-05
457,1802,9,311.06,2023-04-08,2024-04-07
458,901,2,243.65,2025-01-01,2026-01-01
459,1754,6,193.37,2023-10-06,2024-10-05
460,1608,11,389.99,2023-03-26,2024-03-25
461,2271,13,139.81,2024-06-26,2025-06-26
462,3168,8,73.54,2026-08-24,2027-08-24
463,1169,13,125.78,2024-12-26,2025-12-26
464,1828,10,531.06,2023-02-26,2024-02-26
465,984,10,531.22,2026-02-15,2027-02-15
466,103,7,74.89,2025-09-10,2026-09-10
467,1453,2,251.48,2024-12-19,2025-12-19
468,362,2,270.15,2024-03-01,2025-03-01
469,852,3,197.99,2023-03-08,2024-03-07
470,191,13,131.91,2025-04-17,2026-04-17
471,1463,12,141.34,2024-08-17,2025-08-17
472,1407,6,161.21,2024-11-14,2025-11-14
473,1732,7,78.54,2024-01-05,2025-01-04
474,2773,5,171.08,2023-03-07,2024-03-06
475,2749,1,223.51,2023-03-01,2024-02-29
476,2338,1,152.42,2024-05-17,2025-05-17
477,2396,8,75.0,2026-05-13,2027-05-13
478,2449,13,119.88,2023-06-14,2024-06-13
479,417,7,75.07,2025-07-06,2026-07-06
480,1134,10,478.94,2024-09-19,2025-09-19
481,1742,3,215.0,2026-08-19,2027-08-19
482,1995,2,275.55,2026-04-10,2027-04-10
483,2750,11,481.53,2027-06-11,2026-06-11
484,1528,5,146.34,2026-05-14,2027-05-14
485,69,12,119.28,2023-12-03,2024-12-02
486,2834,4,198.99,2026-03-22,2027-03-22
487,2034,10,462.1,2024-10-08,2025-10-08
488,1971,6,140.03,2023-12-24,2024-12-23
489,275,7,89.42,2024-03-18,2025-03-18
490,2179,10,319.92,2025-09-19,2026-09-19
491,998,6,194.02,2023-07-04,2024-07-03
492,3004,13,108.13,2025-07-21,2026-07-21
493,1239,4,178.03,2026-05-25,2027-05-25
494,423,3,288.95,2023-12-07,2024-12-06
495,926,13,146.09,2025-01-01,2026-01-01
496,2201,10,439.82,2025-10-14,2026-10-14
497,392,4,218.35,2025-01-20,2026-01-20
498,2762,4,153.81,2025-11-18,2026-11-18
499,1096,10,462.27,2023-06-10,2024-06-09
500,2548,13,142.73,2023-09-01,2024-08-31
501,2468,8,101.0,2026-06-23,2027-06-23
502,2365,13,161.27,2023-06-05,2024-06-04
503,2270,10,320.0,2025-11-28,2026-11-28
504,454,10,373.33,2026-06-25,2027-06-25
505,2204,4,228.02,2024-09-29,2025-09-29
506,2343,3,348.61,2023-03-26,2024-03-25
507,804,12,162.32,2025-02-27,2026-02-27
508,521,12,93.99,2023-11-18,2024-11-17
509,2492,8,89.96,2024-05-10,2025-05-10
510,214,12,104.55,2025-11-20,2026-11-20
511,1935,5,126.97,2023-06-28,2024-06-27
512,1645,1,246.04,2024-11-11,2025-11-11
513,1460,7,84.66,2023-05-09,2024-05-08
514,160,4,142.75,2025-08-30,2024-08-30
515,1807,12,141.28,2023-07-24,2024-07-23
516,2526,10,502.58,2024-09-12,2025-09-12
517,1282,8,111.64,2025-06-04,2026-06-04
518,1252,8,72.24,2026-02-17,2027-02-17
519,753,12,103.26,2026-06-11,2027-06-11
520,2450,8,75.62,2025-05-03,2026-05-03
521,337,12,114.12,2023-08-03,2024-08-02
522,3065,11,352.32,2026-06-15,2027-06-15
523,242,12,158.55,2024-05-27,2025-05-27
524,3032,2,181.55,2025-05-04,2026-05-04
525,516,6,189.93,2025-10-19,2026-10-19
526,2614,9,376.74,2025-02-19,2026-02-19
527,2329,9,357.31,2024-02-01,2025-01-31
528,2034,12,143.1,2023-01-23,2024-01-23
529,944,6,172.87,2026-07-21,2027-07-21
530,2596,8,56.41,2023-09-29,2024-09-28
531,1868,3,241.61,2023-10-26,2024-10-25
532,2644,10,319.85,2026-06-14,2027-06-14
533,528,7,65.82,2023-09-08,2024-09-07
534,1433,2,193.43,2023-04-02,2024-04-01
535,2097,3,308.55,2026-07-17,2027-07-17
536,1637,2,335.33,2026-02-05,2027-02-05
537,746,7,107.62,2025-01-04,2026-01-04
538,1955,8,103.37,2025-03-28,2026-03-28
539,2487,7,133.81,2023-02-17,2024-02-17
540,342,13,168.42,2024-06-15,2025-06-15
541,385,10,630.92,2024-12-26,2025-12-26
542,552,6,131.75,2025-12-23,2026-12-23
543,2091,11,404.85,2024-12-12,2025-12-12
544,2513,12,104.23,2025-03-08,2026-03-08
545,215,11,344.1,2023-10-10,2024-10-09
546,95,1,268.32,2024-02-01,2025-01-31
547,38,8,94.45,2024-07-21,2025-07-21
548,1832,3,253.03,2024-03-14,2025-03-14
549,850,7,90.39,2024-06-09,2025-06-09
550,2135,13,116.07,2026-02-21,2027-02-21
551,2942,13,109.96,2026-04-21,2027-04-21
552,500,8,110.14,2023-04-08,2024-04-07
553,956,8,74.09,2024-05-05,2025-05-05
554,381,10,303.26,2023-04-26,2024-04-25
555,1358,4,184.7,2025-03-17,2026-03-17
556,2280,8,127.7,2025-12-18,2026-12-18
557,1696,8,86.41,2023-11-02,2024-11-01
558,684,7,77.99,2023-11-22,2024-11-21
559,675,12,140.62,2023-08-15,2024-08-14
560,632,5,157.9,2025-06-13,2026-06-13
561,2107,8,98.03,2024-09-02,2025-09-02
562,1731,10,422.29,2026-10-25,2025-10-25
563,1636,8,83.44,2024-03-24,2025-03-24
